Part,MANUFACTURER,MPN,DESCRIPTION,Quantity
JETSON1:JETSON_J17_UART1:JP3,Wurth,61300611121,CONN HEADER 6 POS 2.54,
JETSON1:JETSON_TX2_J21_EXPANSION1:LED1,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel",16
JETSON1:JETSON_TX2_J21_EXPANSION1:R1,Yageo,RC0603FR-0760R4L ,RES SMD 60.4 OHM 1% 1/10W 0603 ,19
JETSON1:JETSON_TX2_J21_EXPANSION1:R9,Yageo,RC0603FR-0710KL,RES SMD 10K OHM 1% 1/10W 0603 ,4
JETSON1:JETSON_TX2_J21_EXPANSION1:U$3,3M,N2530-6V0C-RB-WF,CONN HEADER 30POS SMT VERT 30AU,1
JETSON1:JETSON_TX2_J21_EXPANSION1:U1,NXP Semiconductors,PCF8574ATD-T,Smt t/r,2
JETSON1:X1,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN,8
MOTOR_TOP1:JDL,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN,5
MOTOR_TOP1:X6,Molex,43045-0409,CONN HEADER 4POS RT ANG SMD TIN,4
POWER_TOP1:C1,Taiyo Yuden,TMK107BJ105KA-T ,CAP CER 1UF 25V X5R 0603,2
POWER_TOP1:C2,Murata,GRM188R61E106MA73D,CAP CER 10UF 25V X5R 0603 ,2
POWER_TOP1:F1,Littelfuse,0154003.DR,Fuse Chip Very Fast Acting 4A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL,2
POWER_TOP1:MOV1,TDK Corporation,AVR-M2012C120MT6AB ,VARISTOR 12V 60A 0805 ,1
POWER_TOP1:MOV2,Avx,VC080503A100DP,VARISTOR 5V 40A 0805 ,1
POWER_TOP1:R2,Yageo,RC0603FR-07470RL,RES SMD 470 OHM 1% 1/10W 0603,1
POWER_TOP1:R3,Yageo,RC0603FR-07147RL,RES SMD 147 OHM 1% 1/10W 0603 ,1
POWER_TOP1:R4,Yageo,RC0603JR-072KL ,RES SMD 2K OHM 5% 1/10W 0603 ,6
POWER_TOP1:U$1,Recom,R-725.0P,CONV DC/DC 2A 6.5-28VIN 5V,1
POWER_TOP1:U$2,Delta Electronics,V36SE12004NRFA,MODULE DC/DC 1/16 BRICK 12V 4A,1
RC_INPUT1:U1,Fairchild Semiconductor,NC7SZ04M5,NC7SZ04 Series 5.5 V Surface Mount TinyLogic UHS Inverter - SOT-23-5,1
RELAY_CONTROL_TOP1:D2,STMicroelectronics,STPS20M60D,SCHOTTKY 60V 20A,1
RELAY_CONTROL_TOP1:FH3,LittelFuse,01000020Z,2x FUSE CLIP CARTRIDGE 600V 20A PCB,2
RELAY_CONTROL_TOP1:ISO1:R1,Yageo,RC0603FR-0747KL,RES SMD 47K OHM 1% 1/10W 0603 ,5
RELAY_CONTROL_TOP1:ISO1:R2,Yageo,RC0603FR-07330KL ,RES SMD 330K OHM 1% 1/10W 0603 ,3
RELAY_CONTROL_TOP1:ISO1:U1,Texas Instruments,AMC1200SDUB,IC OPAMP ISOLATION 100KHZ 8SOP,1
RELAY_CONTROL_TOP1:ISO1:U2,Vishay Semiconductor,SFH615A-3X009T,Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP SMD T/R,1
RELAY_CONTROL_TOP1:MOV1,EPCOS,B72220S0200K101,VARISTOR 33V 2KA DISC 20MM ,1
RELAY_CONTROL_TOP1:R1,Yageo,RC2512JK-070RL ,RES SMD 0 OHM JUMPER 1W 2512 ,2
RELAY_CONTROL_TOP1:REGULATOR1:U1,Texas Instruments,LM2936HVMAX5.0NOPB,IC REG LINEAR 5V 50MA 8SOIC,1
RELAY_CONTROL_TOP1:RELAY_CONTROL1:D1,SMC,1N4148WSTR,DIODE GEN PURP 75V 300MA SOD323,2
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCB1,Rohm,MCR100JZHF52R3,RES SMD 52.3 OHM 1% 1W 2512,4
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$2,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223,3
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R1,Yageo,RC0603FR-07750KL,RES SMD 750K OHM 1% 1/10W 0603 ,1
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R2,Yageo,RC0603FR-07150KL,RES SMD 150K OHM 1% 1/10W 0603 ,1
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R3,Yageo,RC0603FR-07180KL,RES SMD 180K OHM 1% 1/10W 0603 ,1
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:U1,Texas Instruments,LMV762MM/NOPB,"Low Voltage, Precision Comparator with Push-Pull Output 8-VSSOP -40 to 125",1
SENSOR_TOP1:ENCODER1:X1,Phoenix Contact,1751264,CONN TERM BLOCK 4POS 3.5MM,2
SENSOR_TOP1:IMU1:U$1,Sparkfun,LSM9DS1-Breakout,9DoF IMU Breakout,1
SENSOR_TOP1:REACH_GPS1:U$1,Hirose,DF13-6P-1.25V(50),CONN HEADER 6POS 1.25MM SMD GOLD,1
SENSOR_TOP1:U1, Push- Pull 14-TSSOP -40 to 125,Texas Instruments,4-Bit Bidirectional Multi-Voltage Level Translator for Open-Drain &amp,1
